Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    49500    704s |  39    30093    30033 |  32    30016    29976
    50000    711s |  32    30089    30033 |  35    30037    29975
    50500    719s |  64    30137    30032 |  26    30030    29962
    51000    727s |  28    30096    30032 |  33    30035    29955
    51500    735s |  50    30134    30024 |  36    30008    29955
    52000    743s |  57    30198    30024 |  30    30061    29932
    52500    750s |  52    30112    30018 |  57    30046    29955
    53000    757s |  27    30065    30018 |  62    30012    29955
    53500    766s |  36    30091    30014 |  47    30061    29968
    54000    773s |  49    30109    30014 |  54    30037    29960
    54500    780s |  61    30117    30014 |  59    30067    29960
    55000    787s |  36    30074    30014 |  26    29995    29960
    55500    794s |  53    30076    30014 |  34    30038    29960
    56000    801s |  63    30094    30013 |  42    30038    29960
    56500    808s |  38    30093    30004 |  50    30013    29951
    57000    815s |  63    30100    30004 |  58    30013    29933
    57500    822s |  25    30070    30004 |  25    30000    29933
    58000    829s |  49    30094    30004 |  32    30045    29933
    58500    837s |  35    30032    29944 |  36    29932    29877
    59000    843s |  50    30006    29944 |  44    29918    29873
    59500    849s |  33    30035    29944 |  52    29941    29873
    60000    856s |  46    30057    29944 |  55    29985    29860
    60500    863s |  65    30023    29944 |  59    29908    29858
    61000    869s |  56    30081    29944 |  26    29907    29850
    61500    875s |  44    30087    29944 |  34    29949    29873
    62000    882s |  47    30099    29944 |  40    30081    29899
    62500    889s |  44    30112    29944 |  39    29990    29899
    63000    896s |  40    30017    29944 |  32    29950    29858
    63500    903s |  29    29999    29944 |  39    29896    29855
    64000    910s |  59    30017    29944 |  47    29939    29870
    64500    916s |  55    30062    29944 |  49    29978    29899
    65000    923s |  45    30041    29944 |  40    29937    29855
    65500    930s |  60    30046    29944 |  47    29906    29842
R                 |        restart        |        restart
    66000    940s |  46    35387    30403 |  37    30674    30362
    66500    948s |  64    30305    30160 |  45    30217    30136
    67000    955s |  41    30174    30030 |  64    30035    29830
    67500    962s |  48    30097    30019 |  61    30052    30007
    68000    969s |  55    30079    30012 |  38    30069    30002
    68500    976s |  31    30047    30003 |  51    30056    29960
    69000    983s |  32    30064    30001 |  48    30000    29944
    69500    989s |  34    30069    30001 |  48    30008    29940
    70000    996s |  31    30130    30001 |  52    30120    29940
    70500   1003s |  58    30082    30001 |  30    30001    29728
    71000   1010s |  48    30108    30001 |  62    30020    29953
    71500   1017s |  52    30092    30001 |  40    30024    29948
    72000   1023s |  60    30098    30001 |  64    29973    29811
    72500   1031s |  36    30101    30001 |  53    30055    29950
    73000   1037s |  36    30114    30001 |  28    30062    29947
    73500   1044s |  65    30103    30001 |  56    30026    29948
    74000   1051s |  41    30154    30001 |  40    30034    29944
    74500   1058s |  42    30160    30001 |  27    29992    29801
    75000   1065s |  54    30158    30000 |  59    30096    29943
    75500   1072s |  26    30097    29998 |  27    30006    29939
    76000   1079s |  48    30062    29998 |  65    30054    29948
    76500   1085s |  60    30070    29998 |  41    30059    29939
    77000   1092s |  52    30169    29998 |  30    30104    29945
    77500   1100s |  59    30094    29998 |  59    30023    29945
    78000   1106s |  48    30120    29998 |  48    30078    29945
    78500   1113s |  58    30117    29998 |  26    30081    29955
    79000   1120s |  32    30151    29998 |  52    30025    29948
    79500   1127s |  53    30141    29998 |  42    30106    29949
    80000   1134s |  51    30167    29998 |  48    30121    29950
    80500   1141s |  63    30151    29996 |  41    30038    29881
    81000   1148s |  52    30094    29996 |  32    30055    29947
    81500   1155s |  34    30091    29996 |  56    30023    29948
    82000   1162s |  63    30109    29996 |  59    30060    29945
    82500   1169s |  48    30172    29996 |  57    30060    29945
    83000   1176s |  33    30147    29988 |  48    30082    29943
    83500   1183s |  33    30025    29960 |  29    29942    29828
    84000   1190s |  49    30068    29956 |  63    29961    29667
    84500   1198s |  33    30103    29956 |  48    30093    29917
    85000   1205s |  44    30090    29956 |  43    30001    29910
    85500   1212s |  37    30088    29956 |  62    30005    29910
R                 |        restart        |        restart
    86000   1221s |  54    34939    30650 |  43    30873    30378
    86500   1230s |  29    37909    30446 |  41    30560    30411
    87000   1238s |  59    30377    30158 |  42    30259    30120
    87500   1245s |  47    30177    30081 |  51    30117    30030
    88000   1252s |  31    30171    30052 |  37    30037    29796
    88500   1259s |  33    30110    30038 |  26    30073    30020
    89000   1266s |  38    30098    30035 |  38    30060    30011
    89500   1273s |  57    30119    30035 |  48    30091    29999
    90000   1280s |  26    30084    30035 |  28    30057    29951
    90500   1287s |  65    30165    30035 |  52    30068    29987
    91000   1295s |  37    30158    30035 |  36    30011    29775
    91500   1302s |  65    30160    30035 |  65    30088    29994
    92000   1310s |  53    30180    30033 |  31    30173    29994
    92500   1318s |  60    30160    30033 |  48    30059    29991
    93000   1325s |  50    30137    30025 |  30    30032    29982
    93500   1332s |  31    30070    30025 |  61    30036    29976
    94000   1339s |  57    30110    30025 |  28    30127    29982
    94500   1346s |  31    30061    30025 |  29    30074    29993
    95000   1353s |  44    30145    30025 |  36    30078    29993
    95500   1360s |  43    30135    30025 |  56    30068    29972
    96000   1368s |  25    30139    30025 |  65    30104    29972
    96500   1375s |  45    30128    30025 |  62    30089    29992
    97000   1382s |  48    30129    30025 |  41    30059    29948
    97500   1390s |  41    30120    30025 |  64    30056    29968
    98000   1397s |  25    30147    30025 |  33    30089    29992
    98500   1404s |  29    30081    30025 |  65    30080    29992
    99000   1411s |  51    30124    30020 |  42    30172    29954
    99500   1418s |  42    30108    30018 |  62    30058    29968
   100000   1425s |  62    30118    30018 |  46    30043    29943
   100500   1432s |  43    30076    30008 |  31    30053    29985
   101000   1438s |  26    30069    30006 |  31    30048    29952
   101500   1445s |  65    30095    30006 |  56    30035    29976
   102000   1452s |  34    30089    30006 |  37    30013    29976
   102500   1458s |  39    30075    30006 |  39    30005    29938
   103000   1465s |  44    30084    30006 |  45    30039    29976
   103500   1471s |  65    30096    30006 |  41    30037    29952
   104000   1478s |  32    30124    30006 |  64    30041    29965
   104500   1484s |  28    30101    29991 |  30    30034    29952
   105000   1490s |  26    30018    29991 |  41    30096    29965
   105500   1497s |  59    30075    29985 |  64    30014    29965
R                 |        restart        |        restart
   106000   1506s |  27    38669    30486 |  64    30956    30509
   106500   1516s |  27    30543    30162 |  64    30360    30081
   107000   1524s |  64    30332    30076 |  47    30185    29958
   107500   1532s |  43    30141    29979 |  25    30053    29948
   108000   1539s |  52    30076    29970 |  28    30068    29910
   108500   1546s |  50    30082    29970 |  51    30063    29906
   109000   1553s |  48    30071    29970 |  26    29967    29893
   109500   1560s |  57    30046    29970 |  37    29906    29713
   110000   1567s |  31    30037    29970 |  46    30121    29878
   110500   1574s |  28    30041    29970 |  30    29928    29822
   111000   1582s |  37    30072    29968 |  34    29968    29874
   111500   1588s |  51    30075    29968 |  49    29991    29901
   112000   1595s |  41    30128    29968 |  33    30030    29888
   112500   1603s |  61    30097    29968 |  27    29984    29859
   113000   1611s |  48    30114    29968 |  27    29928    29783
   113500   1618s |  42    30051    29964 |  65    29989    29884
   114000   1625s |  31    30006    29958 |  51    29950    29798
   114500   1632s |  48    30039    29939 |  50    29974    29877
   115000   1638s |  58    30011    29939 |  50    29923    29873
   115500   1644s |  30    30000    29934 |  64    29958    29872
   116000   1651s |  29    29967    29933 |  62    29954    29872
   116500   1657s |  42    30004    29933 |  28    29946    29850
   117000   1663s |  35    29960    29933 |  56    29882    29781
   117500   1669s |  61    30014    29933 |  35    30017    29872
   118000   1676s |  61    29987    29933 |  43    29994    29837
   118500   1683s |  32    30049    29933 |  50    29934    29799
   119000   1689s |  29    29994    29933 |  48    29932    29872
   119500   1695s |  54    29966    29933 |  64    29904    29843
   120000   1701s |  65    30029    29933 |  25    30032    29863
   120500   1708s |  33    30089    29933 |  33    29956    29892
   121000   1714s |  50    30035    29933 |  53    29880    29813
   121500   1721s |  29    29999    29933 |  53    29931    29847
   122000   1727s |  39    29990    29933 |  53    29989    29863
   122500   1734s |  63    30046    29933 |  51    29973    29863
   123000   1740s |  32    30009    29933 |  56    29927    29863
   123500   1747s |  30    30022    29933 |  45    29999    29863
   124000   1754s |  44    29984    29933 |  51    29950    29863
   124500   1760s |  42    30000    29933 |  61    29969    29863
   125000   1767s |  36    30038    29933 |  32    29916    29847
   125500   1773s |  47    30005    29933 |  49    29920    29863
R                 |        restart        |        restart
   126000   1782s |  58    34629    30540 |  64    30708    30358
   126500   1791s |  40    30402    30213 |  40    30205    29919
   127000   1799s |  64    30278    30087 |  26    30213    30030
   127500   1807s |  58    30200    30045 |  37    30165    29996
   128000   1814s |  37    30127    30013 |  61    30063    29930
   128500   1822s |  60    30105    29972 |  34    30059    29896
   129000   1830s |  38    30037    29952 |  34    29933    29689
   129500   1837s |  57    30014    29945 |  34    30045    29926
   130000   1845s |  46    29991    29945 |  33    30008    29925
   130500   1852s |  46    30094    29945 |  41    29946    29720
   131000   1860s |  42    30031    29943 |  34    30006    29913
   131500   1868s |  40    30077    29943 |  62    30158    29927
   132000   1875s |  41    30124    29943 |  63    30147    29917
   132500   1883s |  44    30092    29943 |  47    30045    29929
   133000   1891s |  25    30133    29943 |  35    29996    29871
   133500   1899s |  35    30037    29943 |  56    29978    29907
   134000   1906s |  63    30073    29943 |  27    30024    29907
   134500   1914s |  55    30107    29943 |  52    29992    29698
   135000   1922s |  38    30151    29943 |  61    30285    29897
   135500   1931s |  60    30149    29943 |  35    30196    29933
   136000   1939s |  31    30079    29943 |  36    29898    29551
   136500   1946s |  26    30102    29943 |  37    30055    29934
   137000   1954s |  51    30064    29943 |  34    30023    29922
   137500   1962s |  59    30030    29943 |  32    30010    29913
   138000   1970s |  33    30125    29943 |  45    30102    29924
   138500   1977s |  64    30145    29943 |  53    30021    29915
   139000   1986s |  49    30084    29943 |  61    29931    29686
   139500   1993s |  29    30094    29943 |  49    29993    29915
   140000   2001s |  42    30213    29943 |  37    30440    29895
   140500   2009s |  34    30254    29943 |  32    30009    29897
   141000   2017s |  43    30067    29943 |  63    29946    29706
   141500   2025s |  40    30009    29943 |  65    30033    29907
   142000   2032s |  44    30080    29943 |  30    30021    29892
   142500   2040s |  27    30172    29943 |  27    30008    29702
   143000   2049s |  57    30060    29943 |  35    30157    29893
   143500   2057s |  51    30117    29943 |  30    30061    29893
   144000   2064s |  50    30029    29943 |  40    29994    29671
   144500   2072s |  44    30053    29943 |  42    29991    29883
   145000   2080s |  35    30094    29943 |  45    30011    29909
   145500   2087s |  54    30114    29943 |  45    29951    29870
R                 |        restart        |        restart
   146000   2097s |  28    38468    30648 |  46    30700    30142
   146500   2106s |  51    30359    30111 |  61    30147    29962
   147000   2113s |  40    30283    30047 |  64    30181    30017
   147500   2120s |  33    30101    30018 |  56    30113    29995
   148000   2127s |  28    30074    30007 |  52    30068    29966
   148500   2133s |  37    30123    29985 |  42    30104    29979
   149000   2139s |  61    30028    29971 |  49    30028    29947
   149500   2145s |  49    30062    29971 |  33    30016    29967
   150000   2151s |  28    30130    29971 |  33    29929    29701
   150500   2158s |  37    30057    29971 |  26    29995    29903
   151000   2164s |  29    30061    29971 |  44    30000    29933
   151500   2171s |  58    30083    29971 |  58    29995    29933
   152000   2177s |  40    30043    29971 |  33    29965    29908
   152500   2183s |  38    30012    29962 |  46    29993    29933
   153000   2188s |  62    30031    29962 |  26    30006    29894
   153500   2194s |  63    30054    29962 |  36    29966    29924
   154000   2200s |  30    30101    29962 |  43    30011    29924
   154500   2206s |  46    30118    29962 |  50    30020    29894
   155000   2212s |  35    30129    29962 |  54    30058    29899
   155500   2217s |  55    30050    29962 |  45    29974    29924
   156000   2224s |  27    30154    29962 |  26    30002    29924
   156500   2230s |  41    30083    29962 |  53    29954    29899
   157000   2237s |  60    30114    29962 |  56    30030    29899
   157500   2244s |  36    30130    29962 |  51    29946    29753
   158000   2250s |  64    30149    29962 |  65    30000    29934
   158500   2257s |  50    30100    29962 |  48    30028    29935
   159000   2264s |  39    30126    29962 |  35    30060    29935
   159500   2270s |  43    30113    29962 |  30    30055    29935
   160000   2277s |  55    30097    29962 |  47    30006    29935
   160500   2283s |  26    30159    29962 |  32    30032    29912
   161000   2289s |  30    30130    29962 |  41    30026    29935
   161500   2296s |  47    30104    29962 |  53    30054    29924
   162000   2303s |  57    30137    29962 |  49    30029    29899
   162500   2309s |  32    30086    29962 |  34    30000    29924
   163000   2315s |  37    30184    29962 |  45    29993    29899
   163500   2321s |  29    30200    29962 |  33    29975    29797
   164000   2328s |  35    30204    29962 |  46    30043    29924
   164500   2335s |  41    30154    29962 |  43    29981    29835
   165000   2341s |  41    30100    29962 |  31    30030    29897
   165500   2347s |  57    30068    29962 |  56    29983    29924
R                 |        restart        |        restart
   166000   2356s |  28    38406    30381 |  26    30641    30325
   166500   2364s |  29    37726    30139 |  61    30370    30102
   167000   2372s |  40    30298    30079 |  58    30278    30042
   167500   2380s |  45    30169    30013 |  64    30084    29966
   168000   2387s |  35    30164    30000 |  36    30065    29938
   168500   2394s |  43    30158    29974 |  43    30035    29929
   169000   2402s |  41    30212    29974 |  29    30225    29892
   169500   2409s |  33    30196    29958 |  46    30224    29877
   170000   2416s |  57    30128    29958 |  34    29927    29886
   170500   2423s |  60    30164    29957 |  46    30034    29910
   171000   2430s |  27    30086    29944 |  64    30001    29886
   171500   2437s |  30    30049    29944 |  65    30012    29889
   172000   2444s |  64    30092    29944 |  31    29985    29874
   172500   2450s |  60    30061    29940 |  32    29954    29884
   173000   2457s |  49    30031    29940 |  65    29953    29884
   173500   2463s |  35    30013    29931 |  35    29927    29856
   174000   2471s |  46    30055    29931 |  51    30149    29872
   174500   2477s |  41    30003    29931 |  59    29932    29884
   175000   2483s |  33    30069    29931 |  25    29975    29884
   175500   2490s |  30    29989    29930 |  25    29913    29704
   176000   2496s |  57    29986    29930 |  39    29876    29718
   176500   2503s |  31    30141    29930 |  61    30124    29859
   177000   2510s |  33    30182    29930 |  32    29877    29611
   177500   2518s |  57    30072    29930 |  47    29930    29692
   178000   2525s |  30    30034    29925 |  53    29970    29889
   178500   2532s |  55    30131    29918 |  62    29985    29884
   179000   2539s |  58    30094    29905 |  30    30034    29891
   179500   2545s |  37    29983    29899 |  41    29947    29866
   180000   2551s |  34    30000    29899 |  49    29969    29881
   180500   2557s |  52    30018    29899 |  45    29954    29889
   181000   2564s |  52    30018    29899 |  56    29957    29881
   181500   2570s |  48    30046    29899 |  29    30006    29873
   182000   2576s |  39    30002    29899 |  56    29931    29867
   182500   2583s |  51    30001    29899 |  31    29983    29881
   183000   2590s |  43    30022    29899 |  50    29978    29869
   183500   2597s |  63    30068    29899 |  47    30052    29873
   184000   2603s |  34    29973    29899 |  36    29945    29859
   184500   2609s |  60    29978    29899 |  29    29914    29626
   185000   2616s |  50    29991    29899 |  61    29882    29820
   185500   2622s |  31    29981    29899 |  59    29971    29889
R                 |        restart        |        restart
   186000   2632s |  44    35628    30482 |  61    30782    30340
   186500   2640s |  64    33786    30235 |  26    30343    30190
   187000   2648s |  46    30325    30040 |  41    30228    30001
   187500   2656s |  34    30075    29968 |  60    30065    29953
   188000   2663s |  48    30101    29965 |  37    30032    29916
   188500   2669s |  44    30050    29958 |  43    29998    29935
   189000   2676s |  51    30081    29948 |  51    29988    29885
   189500   2683s |  41    30071    29936 |  64    29998    29872
   190000   2689s |  35    30002    29917 |  57    29906    29612
   190500   2696s |  63    30044    29914 |  27    29941    29903
   191000   2703s |  51    30017    29914 |  34    29943    29836
   191500   2710s |  29    29963    29914 |  64    29916    29768
   192000   2718s |  40    29968    29914 |  32    29944    29858
   192500   2725s |  43    29985    29914 |  26    29963    29858
   193000   2733s |  28    30027    29914 |  26    29995    29847
   193500   2740s |  60    30049    29914 |  29    29985    29861
   194000   2748s |  61    30075    29914 |  31    29946    29858
   194500   2755s |  45    30032    29904 |  63    29942    29888
   195000   2763s |  56    29984    29904 |  32    30088    29887
   195500   2771s |  53    29999    29904 |  58    29941    29856
   196000   2779s |  48    29964    29904 |  42    29989    29864
   196500   2788s |  55    30022    29904 |  60    29988    29852
   197000   2795s |  48    30052    29901 |  34    30052    29829
   197500   2804s |  54    30069    29901 |  25    29886    29560
   198000   2811s |  36    29971    29901 |  25    30000    29877
   198500   2820s |  57    30028    29901 |  25    29933    29862
   199000   2828s |  46    29983    29901 |  65    29898    29849
   199500   2836s |  38    30001    29901 |  63    29909    29849
   200000   2844s |  40    30090    29901 |  35    30241    29831
   200500   2852s |  45    30034    29901 |  25    29893    29768
   201000   2861s |  58    30086    29901 |  51    29988    29850
   201500   2869s |  58    30082    29901 |  41    29934    29850
   202000   2877s |  58    30086    29901 |  47    29952    29846
   202500   2885s |  57    30094    29901 |  27    29963    29846
   203000   2894s |  47    30030    29901 |  56    29966    29854
   203500   2902s |  62    30019    29901 |  50    29906    29846
   204000   2910s |  50    30037    29901 |  43    29943    29846
   204500   2918s |  40    30056    29901 |  39    29937    29858
   205000   2926s |  62    30004    29901 |  38    29910    29849
   205500   2934s |  40    30008    29901 |  60    29942    29830
R                 |        restart        |        restart
   206000   2944s |  51    35031    30443 |  25    30593    30319
   206500   2954s |  40    35976    30364 |  35    30602    30291
   207000   2962s |  36    36459    30279 |  40    30401    30240
   207500   2970s |  56    34240    30180 |  44    30324    30148
   208000   2977s |  49    30247    30125 |  35    30187    30088
   208500   2985s |  27    30214    30084 |  57    30348    30034
   209000   2992s |  53    30132    30078 |  34    30112    30034
   209500   2998s |  55    30157    30053 |  39    30087    30017
   210000   3005s |  37    30090    30050 |  34    30110    30005
   210500   3011s |  57    30113    30048 |  48    30045    29962
   211000   3017s |  54    30178    30038 |  37    30154    30017
   211500   3024s |  54    30115    30034 |  53    30071    29996
   212000   3029s |  59    30089    30030 |  46    30029    29968
   212500   3035s |  37    30088    30029 |  27    30024    29996
   213000   3040s |  57    30091    30029 |  33    30027    29987
   213500   3046s |  62    30113    30029 |  28    30046    29920
   214000   3052s |  30    30108    30029 |  26    30057    29987
   214500   3058s |  40    30136    30029 |  42    30231    29983
   215000   3064s |  29    30165    30029 |  63    30081    29984
   215500   3070s |  34    30079    30027 |  40    30049    29983
   216000   3076s |  51    30107    30026 |  51    30059    29983
   216500   3081s |  60    30084    30026 |  47    30074    29992
   217000   3087s |  63    30090    30024 |  65    30113    29981
   217500   3092s |  27    30091    30024 |  61    29987    29769
   218000   3098s |  38    30149    30024 |  62    30060    29979
   218500   3104s |  64    30144    30024 |  48    30151    29992
   219000   3110s |  35    30191    30024 |  35    30157    29979
   219500   3117s |  25    30194    30005 |  27    30033    29971
   220000   3124s |  45    30098    29956 |  48    30123    29919
   220500   3130s |  64    30035    29955 |  43    30013    29914
   221000   3137s |  52    29993    29953 |  48    30006    29908
   221500   3144s |  29    30006    29949 |  37    29938    29868
   222000   3150s |  38    29991    29944 |  52    29970    29908
   222500   3157s |  50    30053    29944 |  44    30246    29904
   223000   3163s |  55    30006    29944 |  61    29967    29898
   223500   3170s |  27    30092    29941 |  45    29974    29868
   224000   3176s |  60    30100    29941 |  31    30045    29898
   224500   3182s |  35    30066    29941 |  65    30040    29898
   225000   3189s |  53    30052    29941 |  42    30012    29906
   225500   3195s |  30    30061    29941 |  43    30020    29892
R                 |        restart        |        restart
   226000   3204s |  52    34985    30504 |  34    30836    30496
   226500   3212s |  29    30241    30119 |  49    30241    30114
   227000   3220s |  54    30213    30086 |  56    30166    30053
   227500   3227s |  60    30113    30040 |  28    30039    29989
   228000   3234s |  27    30093    30019 |  52    30062    29953
   228500   3241s |  27    30047    30006 |  40    30031    29932
   229000   3248s |  59    30141    29984 |  26    29986    29930
   229500   3255s |  47    30090    29980 |  26    29992    29928
   230000   3263s |  46    30038    29975 |  34    29989    29919
   230500   3269s |  46    30047    29975 |  46    29938    29738
   231000   3277s |  56    30042    29975 |  32    29910    29612
   231500   3284s |  46    30009    29975 |  38    29955    29887
   232000   3291s |  62    30036    29975 |  58    29962    29884
   232500   3298s |  49    30066    29975 |  49    29957    29904
   233000   3305s |  62    30085    29975 |  30    29996    29925
   233500   3312s |  47    30115    29975 |  58    29919    29713
   234000   3319s |  37    30062    29975 |  47    30002    29925
   234500   3326s |  42    30044    29975 |  26    29951    29887
   235000   3333s |  29    30046    29975 |  47    29987    29925
   235500   3340s |  48    30112    29975 |  34    29991    29925
   236000   3348s |  27    30044    29975 |  54    29958    29889
   236500   3355s |  28    30126    29975 |  35    30037    29925
   237000   3362s |  43    30091    29975 |  57    29987    29901
   237500   3369s |  33    30132    29975 |  36    29984    29925
   238000   3376s |  38    30064    29975 |  56    29975    29901
   238500   3383s |  43    30101    29975 |  33    29962    29821
   239000   3391s |  28    30068    29975 |  37    30040    29891
   239500   3398s |  31    30053    29975 |  52    30022    29925
   240000   3404s |  45    30064    29975 |  57    29950    29877
   240500   3411s |  42    30050    29975 |  61    29960    29889
   241000   3418s |  65    30031    29975 |  58    29994    29901
   241500   3425s |  51    30093    29975 |  49    30026    29925
   242000   3431s |  43    30089    29975 |  36    29948    29729
   242500   3438s |  46    30078    29975 |  36    30050    29901
   243000   3445s |  31    30028    29975 |  29    29936    29901
   243500   3451s |  33    30074    29975 |  62    29947    29887
   244000   3458s |  26    30065    29975 |  63    29961    29889
   244500   3465s |  38    30081    29975 |  64    30009    29901
   245000   3472s |  59    30082    29975 |  25    29975    29889
   245500   3478s |  26    30029    29975 |  65    29970    29901
R                 |        restart        |        restart
   246000   3489s |  45    35615    30549 |  48    30768    30322
   246500   3498s |  38    30348    30163 |  49    30346    30149
   247000   3505s |  45    30109    30046 |  33    30071    29850
   247500   3513s |  26    30123    29990 |  27    30067    29968
   248000   3520s |  29    30047    29985 |  43    30013    29962
   248500   3527s |  27    30040    29985 |  34    30000    29954
   249000   3534s |  31    30059    29984 |  63    30058    29941
   249500   3541s |  36    30055    29984 |  53    29990    29951
   250000   3548s |  52    30115    29984 |  51    30061    29943
   250500   3555s |  60    30076    29984 |  48    29970    29943
   251000   3562s |  65    30064    29984 |  43    30012    29943
   251500   3569s |  31    30085    29984 |  33    30016    29943
   252000   3576s |  43    30066    29984 |  33    29976    29943
   252500   3584s |  63    30078    29984 |  30    29983    29943
   253000   3590s |  30    30052    29984 |  52    30007    29966
   253500   3597s |  33    30042    29977 |  59    30054    29933

Search terminated in 3600.01s after 253729 iterations.
Best-found solution has cost 29857.

Solution results
================
    # routes: 28
   # clients: 321
   objective: 29857
    distance: 29857
    duration: 29857
# iterations: 253729
    run-time: 3600.01 seconds

Solving the file: X-n327-k20.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    326 clients
    326 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     25s |  38    37183    28679 |  42    25860    25269
H    1000     51s |  51    35124    28397 |  41    23416    22827
     1500     80s |  35    37703    28397 |  49    25680    24994
H    2000    106s |  61    34062    28253 |  57    25657    24949
     2500    131s |  40    36557    28253 |  65    25671    24899
     3000    165s |  59    34377    28253 |  32    26117    25350
     3500    193s |  62    34045    28253 |  40    25737    25126
     4000    220s |  38    37068    28253 |  48    25717    25019
     4500    245s |  42    36208    28253 |  56    25533    24972
     5000    265s |  31    38315    28253 |  61    28480    28057
H    5500    281s |  34    37232    28105 |  56    28182    27814
H    6000    294s |  64    32837    27963 |  43    28097    27926
H    6500    328s |  61    33951    27941 |  49    23497    22847
     7000    356s |  26    39787    27941 |  57    25853    25133
     7500    381s |  32    37899    27941 |  65    25857    25054
     8000    407s |  48    35017    27941 |  32    25566    25024
     8500    433s |  30    38284    27941 |  40    25277    24962
     9000    459s |  42    35811    27941 |  48    25472    24903
     9500    485s |  60    28970    27941 |  56    25435    24890
    10000    509s |  27    28348    27941 |  64    27886    27133
H   10500    527s |  54    28723    27917 |  56    27224    26792
    11000    543s |  57    28532    27917 |  34    26967    26783
H   11500    576s |  63    29114    27905 |  25    23273    22782
H   12000    607s |  34    28564    27903 |  59    23666    22813
    12500    640s |  49    28891    27903 |  26    25688    25410
H   13000    666s |  41    28736    27901 |  55    23800    22969
    13500    706s |  31    28493    27901 |  63    23752    23061
    14000    743s |  41    28742    27901 |  30    23163    22659
    14500    771s |  44    28656    27901 |  38    25572    25051
    15000    797s |  53    28715    27901 |  46    25452    24919
    15500    836s |  62    28904    27901 |  54    23430    22729
    16000    870s |  42    28739    27901 |  62    23251    22641
    16500    900s |  56    28804    27901 |  27    25446    25098
    17000    926s |  34    28506    27901 |  35    25142    24937
H   17500    953s |  64    29047    27889 |  61    23682    22823
    18000    987s |  52    28936    27889 |  28    23103    22696
    18500   1018s |  38    28597    27889 |  36    25489    25100
    19000   1043s |  37    28559    27889 |  44    25676    24887
    19500   1062s |  46    28364    27889 |  58    27535    27010
H   20000   1098s |  41    28921    27888 |  61    23141    22648
    20500   1125s |  37    28631    27888 |  28    25378    25079
    21000   1150s |  27    28294    27888 |  36    25315    24893
    21500   1174s |  55    28821    27888 |  44    25194    24784
    22000   1197s |  39    28637    27888 |  51    25387    24775
    22500   1220s |  54    28935    27888 |  58    25249    24763
    23000   1243s |  25    28266    27888 |  65    25220    24763
    23500   1266s |  29    28390    27888 |  31    25013    24763
    24000   1289s |  36    28521    27888 |  37    25501    24763
    24500   1312s |  50    28807    27888 |  45    25255    24763
H   25000   1332s |  47    28480    27882 |  28    27105    26899
    25500   1368s |  43    28771    27882 |  30    22942    22643
    26000   1401s |  32    28530    27882 |  38    23155    22574
    26500   1431s |  48    28743    27882 |  46    25696    25119
    27000   1457s |  55    28819    27882 |  54    25642    25031
    27500   1483s |  38    28638    27882 |  62    25470    24966
H   28000   1507s |  38    28397    27876 |  26    27625    27032
    28500   1538s |  30    28335    27876 |  65    25629    25028
    29000   1563s |  59    28820    27876 |  31    25188    24918
    29500   1586s |  61    28858    27876 |  39    25166    24905
    30000   1609s |  57    28668    27876 |  47    25459    24905
    30500   1634s |  33    28435    27876 |  53    25490    24905
    31000   1658s |  35    28479    27876 |  60    25581    24905
    31500   1684s |  62    28696    27876 |  63    19781    17830
    32000   1719s |  33    28507    27876 |  30    22896    22504
    32500   1746s |  50    28844    27876 |  36    25280    24959
    33000   1771s |  65    28898    27876 |  44    25414    24891
    33500   1795s |  30    28340    27876 |  51    25229    24842
    34000   1822s |  42    28661    27876 |  54    23270    22650
    34500   1849s |  29    28396    27876 |  62    25743    24965
    35000   1870s |  33    28293    27876 |  55    27431    27080
H   35500   1890s |  27    28137    27873 |  35    21000    19825
    36000   1924s |  36    28642    27873 |  43    23197    22738
    36500   1954s |  49    28924    27873 |  51    25676    25247
    37000   1979s |  51    28864    27873 |  59    25676    25053
    37500   2002s |  59    28938    27873 |  26    25136    25043
    38000   2026s |  37    28605    27873 |  34    25329    25012
    38500   2051s |  45    28734    27873 |  42    25334    24910
    39000   2076s |  62    28927    27873 |  50    25308    24902
    39500   2111s |  65    29073    27873 |  58    23758    22818
    40000   2147s |  53    28883    27873 |  25    22922    22644
    40500   2180s |  33    28528    27873 |  33    23022    22611
    41000   2214s |  33    28522    27873 |  41    23045    22602
    41500   2248s |  25    28161    27873 |  49    23275    22601
    42000   2279s |  58    29000    27873 |  57    25715    25115
    42500   2306s |  40    28727    27873 |  65    25664    24988
    43000   2331s |  56    28803    27873 |  32    25269    24947
    43500   2358s |  41    28690    27873 |  40    25537    24884
    44000   2383s |  52    28881    27873 |  48    25283    24856
H   44500   2406s |  43    28387    27861 |  35    21033    17780
    45000   2444s |  49    28823    27861 |  43    18931    17842
    45500   2481s |  42    28632    27861 |  51    25816    25262
    46000   2509s |  25    28174    27861 |  59    25772    24970
    46500   2535s |  33    28612    27861 |  26    25133    24933
    47000   2560s |  41    28378    27861 |  34    27617    27179
H   47500   2596s |  38    28476    27860 |  39    25748    25251
